Course Number	Course Name	Type of Course	Prereqs	Coreqs	Current Course Description	Faculty Written Updated Course Description	Undergrad Affairs Committee Proposed Changes	Other Faculty Proposed Changes	Tracks	Focus: Computational & Mathematical Biology	Focus: Conservation Biology	Focus: Ecology & Environmental Science	Focus: Evolutionary Biology	Focus: Pre-Professional Health
EEB 470	Aquatic Ecology	Lecture/Lab	EEB 411		Introduction to the physio-chemical nature of inland waters with description of biotic communities and their interrelationships. 	"We will learn about the physical, chemical, and biological characteristics of streams, lakes, and seas. We will discover how anthropogenic activities are threatening these systems and the biodiversity therein. Coding and big data analyses will be an important part of this class. We will learn how to harness publicly available datasets to answer important questions in aquatic ecology and conservation. (WC; QR; Lab; R-designation)"			biodiversity	Y	Y	Y		
EEB 471	Aquatic Macroecology and Conservation				"This course is designed to develop understanding of large-scale physical, chemical, and biological patterns and processes in different types of aquatic environments found on Earth. The impacts of anthropogenic activities on aquatic biodiversity and ecosystems will be explored. Students will be introduced to the collation and statistical analysis of publicly available data to answer important questions in aquatic ecology and conservation."						Y			
EEB 473	Herpetology	Lecture/Lab	BIOL 250 or BIOL 260		"Classification, evolution, ecology, biogeography, and anatomy of amphibians and reptiles. "		change to 373		biodiversity			Y	Y	
EEB 474	Ichthyology	Lecture/Lab	BIOL 260		"Evolution, classification, collection and identification, distribution and biology of fishes with emphasis on freshwater fauna of eastern North America. "		change to 374 and make Variable Title Course so that the summer course (Div & Ecol for TN Fishes) is able to be used in place of Ichthylogy without having to petition every student that wants this subsitution		biodiversity			Y	Y	
EEB 475	Conversational Biomathematical Modeling				Concepts in mathematical modeling in the biological sciences. Focus on understanding different types of models and how to read the primary literature that utilizes these methods. 				modeling	Y	Y			Y
EEB 476	Theoretical Ecology and its Applications		BIOL 260 and MATH 142 or MATH 152		"Ecosystems show an incredible diversity of dynamics. Theoretical ecology focuses on identifying generalizable principles that can help organize how we approach ecological data analyses and the design of experimental programs in the face of that complexity and richness. Ecological theory bounds what is possible, spotlights what is likely, and generates new hypotheses, thereby helping the ecological scientist to focus their research effort. Ecological theory also provides techniques that can help guide conservation management interventions. Topics may include but are not limited to: demographic modeling, community ecology, life history theory, protected area design, bioeconomics, behavioral ecology and more."					Y	Y			
EEB 480	Natural History of the Smoky Mountains	Lecture/Lab	BIOL 150 and BIOL 260		Field ecology course that includes a one-week field trip. Students will learn about the natural history and ecological and evolutionary factors that are responsible for the diversity of plants and animals in the Great Smoky Mountains. Emphasis on field study of selected biotic communities. Course will meet daily on campus for lectures/labs for 5 days (week 1) before venturing into the field. Students will stay full-time at the Biology Field Station in week 2. Course will conclude with 2 days (week 3) of oral presentations and discussion. 				biodiversity		Y	Y		
EEB 481	Avian Diversity				"Provides strong foundation in global and regional diversity of birds, their biogeography, evolution, and ecology. Learn to identify birds by plumage, voice, and behavior. Familiarize yourself with major groups of North American birds, their habitats and distributions, and learn about the value of avian natural history collections and the challenges and rewards of preparing bird specimens."							Y	Y	
EEB 484	Conservation Biology	Lecture			"Application of principles and techniques of ecological research to conservation of biological diversity at genetic, population, community, and ecosystem levels. "						Y	Y		
EEB 485	Ethnobiology: Theory and Methods				Dynamic relationships between humans and their environment. Focus on understanding of the drivers of human decision making and choice in plant and animal use which is critical for designing globally sustainable management plans.						Y	Y		Y
EEB 490	Undergraduate Seminar	Seminar			"Weekly departmental research seminar presenting current research in the areas of ecology, behavior and evolutionary biology by UT faculty and researchers from around the world. Seminar meets to discuss a paper by the Department’s weekly seminar speaker. As a result, enrollment in this course requires attendance to the Department’s weekly seminar. "		Make course repeatable with more credits allowed to go to major							
EEB 492	Off-Campus Internship in Ecology and Evolutionary Biology				"Participation in individualized practical applications of ecology, behavior, evolution and conservation biology in community, government, and industry. Requires approval of EEB UG Committee Chair. "									
EEB 493	Independent Study	Personalized Self Instruction			Independent study under the direction of a faculty member. 		remove max hours restriction							
EEB 493	EEB Professional Development						Create a number for this course							
EEB 495	Evolutionary Ecology	Lecture	BIOL 260 and BIOL 280		"Basic concepts in evolutionary and ecological genetics. Biogeography, climate, population genetics, evolution and natural selection, population growth and regulation, competition, niche, experimental ecology, predation, phylogenetics in ecology, and biodiversity and conservation. "					Y			Y	
EEB 496	Special Topics Seminars	Seminar			Special topics in ecology and evolutionary biology. 		Make course repeatable with more credits allowed to go to major							
EEB 500	Thesis	Research			Selected directed readings or special course in topics of current interest. Consult departmental listing for offerings.									
EEB 502	Registration for Use of Facilities	Use of Facilities			Required for the student not otherwise registered during any semester when student uses university facilities and/or faculty time before degree is completed.									
EEB 503	Ecology and Evolutionary Biology Seminar	Lecture			"Advanced topics in ecology, behavior, and evolutionary biology. Required of all first- and second-year graduate students. Senior departmental majors are encouraged to enroll."									
EEB 504	Special Topics	Lecture												
EEB 504	Math Ecology Seminar						request EEB 589 to be used to correspond to crosslisted MATH 589 course							
EEB 507	Seminar in Ecology and Evolutionary Biology	Lecture			Research presentations by EEB graduate students.									
EEB 509	Core: Ecology	Lecture			"Readings, lectures, and discussion about key concepts in ecology."							Y		
EEB 511	Core: Evolution	Lecture			"Readings, lectures, and discussion about key concepts in evolution."								Y	
EEB 543	Aquatic Insects	Lecture/Lab			Taxonomy and biology of aquatic insects; immature forms.							Y		
EEB 546	Evolutionary Psychology	Lecture			Advanced analysis of the ecological and evolutionary bases of behavior.									Y
EEB 547	Conceptual Foundations of Evolution and Behavior	Lecture			Critical evaluation of seminal writings on theory and methods in comparative analysis of behavior.								Y	Y
EEB 550	Ecological Niche Models and Species Distributions	Lecture			"Species niches and spatial patterns - This course will combine lectures with computer demonstrations and practice. Students are expected to develop and work on an instructor approved project during class and present project results at the end of the semester. This hands-on course will be structured in three modules: I. Species' ranges in GIS; II. Species' niches - ecological niche modeling; and III: Spatial patterns of biodiversity - macroecology and conservation. Each module will last 5 weeks and students have the option to enroll in one, two, or three modules."	"Species niches and spatial patterns - This course will combine lectures with computer demonstrations and practice. Students are expected to develop and work on an instructor approved project during class and present project results at the end of the semester. This hands-on course will be structured in three modules: I. Species' ranges in GIS; II. Species' niches - ecological niche modeling; and III: Spatial patterns of biodiversity - macroecology and conservation. Each module will last 5 weeks and students have the option to enroll in one, two, or three modules."				Y				
EEB 560	Biometry	Lecture			Statistical applications in biological research.					Y				
EEB 580	Population Modeling		EEB 411		"Recent advances in modeling dynamics of size-structured populations to answer ecological and conservation questions. Use R to develop matrix and integral population models, learn to conduct sensitivity and elasticity analyses for transient and asymptotic dynamics, develop stochastic (iid, Markovian) models and age-from-stage models."					Y				
EEB 581	Mathematical Ecology I	Lecture	MATH 431 and MATH 453		"Deterministic and stochastic models of populations, communities, and ecosystems."					Y				
EEB 582	Mathematical Ecology II	Lecture	MATH 581		Continuation of EEB 581/MATH 581.					Y				
EEB 583	Zoogeography	Lecture			Processes determining geographic distribution of animals and distribution and composition of animal communities.		change name to biogeography				Y			
EEB 585	Mathematical Evolutionary Theory	Lecture	MATH 431 and MATH 453		Population genetics and evolutionary ecology.					Y				
EEB 587	Phylogenetic Methods	Lecture			"Topics include likelihood, Bayesian, and parsimony methods of tree inference, gene tree species tree and network methods, dating trees, correlating characters, discrete and continuous character models and diversification."		request cooresponding undergrad course number or amend to allow for undergrad credit						Y	
EEB 591	Foreign Study	Lecture												
EEB 592	Off-Campus Internship in Ecology and Evolutionary Biology	Off Campus Study												
EEB 593	Independent Study	Personalized Self Instruction												
EEB 598	Biology Education: Theory and Practice	Lecture			"Develops the knowledge, skills, and confidence to be an effective biology teacher at the college level. Outcomes of the course will include a knowledge of teaching techniques, practice evaluating the teaching of others, putting educational theory into practice, and a completed teaching philosophy statement."									
EEB 600	Doctoral Research and Dissertation	Research												
EEB 602	Advanced Topics in Ecological Process and Structure	Lecture			Exposure and in-depth training in contemporary topics and approaches important to advanced research in ecological process and structure. Consult departmental listing for offerings.		remove max hours restriction							
EEB 603	Advanced Topics in Evolutionary Biology	Lecture			Exposure and in-depth training in contemporary topics and approaches important to advanced research in evolutionary biology. Consult departmental listing for offerings.		remove max hours restriction							
EEB 606	Advanced Topics in Conservation Biology	Lecture			Exposure and in-depth training in contemporary topics and approaches important to advanced research in conservation biology. Consult departmental listing for offerings.		remove max hours restriction							
EEB 607	Seminar in Ecology and Evolutionary Biology	Lecture			Readings and discussion based on current literature.		remove max hours restriction							
EEB 609	Advanced Topics in Comparative Animal Behavior	Lecture			Exposure and in-depth training in contemporary topics and approaches important to advanced research in animal behavior. Consult departmental listing for offerings.		remove max hours restriction							
EEB 610	"Advanced Topics in Mathematical, Theoretical and Computational Ecology"	Lecture			"Exposure and in-depth training in contemporary topics and approaches important to advanced research in mathematical, theoretical, and computational ecology. Consult departmental listing for offerings."		remove max hours restriction							
EEB 611	Advanced Topics in Organismal Biology	Lecture			Exposure and in-depth training in contemporary topics and approaches important to advanced research in organismal biology. Consult departmental listing for offerings.		remove max hours restriction							
EEB 612	Advanced Topics in Environmental Toxicology	Lecture			Exposure and in-depth training in contemporary topics and approaches important to advanced research in environmental toxicology. Consult departmental listing for offerings.		remove max hours restriction							
EEB 681	Advanced Mathematical Ecology I	Lecture	MATH 581 and MATH 582		"Selected topics in theoretical and applied mathematical ecology: population, community, ecosystem ecology and applied topics such as demography, ecotoxicology, epidemiology, environmental change, and resource management."									
EEB 682	Advanced Mathematical Ecology II	Lecture			Continuation of EEB 681/MATH 681.									
														
														
														
														
